"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_position","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"acl-2.3.2","acl","2.3.2","","x86_64-linux","/nix/store/42hsdp2wh69pclsi2flbarql4fls0sm8-acl-2.3.2","['/nix/store/42hsdp2wh69pclsi2flbarql4fls0sm8-acl-2.3.2', '/nix/store/97aqg8g9hfdv5zdhbvkhwdd7m8cskjyd-acl-2.3.2-man', '/nix/store/gxg3pqmz5bb5bjanqpbvs1k5m3cdgnzx-acl-2.3.2-dev', '/nix/store/wddhqbam6dv0x4rgsb0vfbmq7yhfgcf1-acl-2.3.2-doc', '/nix/store/z48slxwg87dkjh83ihjqydrw3fb28kav-acl-2.3.2-bin']","/nix/store/1iv7yzhhswignmaxygx9x9m3fiaayvzv-acl-2.3.2.drv","cpe:2.3:a:xfs:acl:2.3.2:*:*:*:*:*:*:*","pkg:nix/acl@2.3.2","","acl","2.3.2","https://savannah.nongnu.org/projects/acl","False","Library and tools for manipulating access control lists","/nix/store/sbar1dcjq25m656wyhndzg3m77ayrwfm-source/pkgs/development/libraries/acl/default.nix:41","gpl2Plus","GPL-2.0-or-later",""
"attr-2.5.2","attr","2.5.2","/nix/store/wc9c8k7z5w5afdqvz7gjrjlaqf16wfpr-musl.patch","x86_64-linux","/nix/store/6lnqmp6z002x7i7if04a8y7y4v29pv2k-attr-2.5.2","['/nix/store/143f51yr9swqjljm35kganc6pajd22f2-attr-2.5.2-doc', '/nix/store/4n3wd2xkhynsrm5hilcabarx70hx45jf-attr-2.5.2-man', '/nix/store/6lnqmp6z002x7i7if04a8y7y4v29pv2k-attr-2.5.2', '/nix/store/gmba3r5m9sc2chvf325l7ark2y4mq38q-attr-2.5.2-bin', '/nix/store/pikixlr5ry2q6lnah1lxyyzrrwnsvwqv-attr-2.5.2-dev']","/nix/store/y55iyfk1qkdnq5yl6cy4fyzpnxmwbb5d-attr-2.5.2.drv","cpe:2.3:a:attr:attr:2.5.2:*:*:*:*:*:*:*","pkg:nix/attr@2.5.2","","attr","2.5.2","https://savannah.nongnu.org/projects/attr/","False","Library and tools for manipulating extended attributes","/nix/store/sbar1dcjq25m656wyhndzg3m77ayrwfm-source/pkgs/development/libraries/attr/default.nix:42","gpl2Plus","GPL-2.0-or-later",""
"bash-5.3p3","bash","5.3p3","/nix/store/0j41vs0ajmjn81i1mwhgvi24rr5hi4aa-bash53-001 /nix/store/6iygjlcf64ryrg6jryk6qrjfxxz2i6q8-bash53-002 /nix/store/bm2dknmrjbsd49idcliys6gyalnbd90i-bash53-003 /nix/store/yq0lz1byj4v2rym2ng23a3nj4n6pvqdj-pgrp-pipe-5.patch","x86_64-linux","/nix/store/lw117lsr8d585xs63kx5k233impyrq7q-bash-5.3p3","['/nix/store/36ai0jalsnzbc3qphl1qd0r03rq4j78q-bash-5.3p3-info', '/nix/store/3yh0a0fyibkjka8kmdzqgsm95j0dazzc-bash-5.3p3-debug', '/nix/store/7ax8d79pv8844q9smsjl6z3fzq2g6v1a-bash-5.3p3-man', '/nix/store/lw117lsr8d585xs63kx5k233impyrq7q-bash-5.3p3', '/nix/store/m4y746gjqk1jlvbmj9000z9xa1s1k8gd-bash-5.3p3-doc', '/nix/store/xwycpgynnan790yad5z87xvczwkssj3k-bash-5.3p3-dev']","/nix/store/i0lswaixfnfr6j3qr9xrij8nq93rp9b5-bash-5.3p3.drv","cpe:2.3:a:gnu:bash:5.3p3:*:*:*:*:*:*:*","pkg:nix/bash@5.3p3","","bash","5.3p3","https://www.gnu.org/software/bash/","False","GNU Bourne-Again Shell, the de facto standard shell on Linux","/nix/store/sbar1dcjq25m656wyhndzg3m77ayrwfm-source/pkgs/shells/bash/5.nix:268","gpl3Plus","GPL-3.0-or-later","contact@infinisil.com"
"binutils-2.44","binutils","2.44","/nix/store/sqbhaaayam0xw3a3164ks1vvbrdhl9vq-deterministic.patch /nix/store/xrw086zw3xqsvy9injgil8n2qdkvkpff-0001-Revert-libtool.m4-fix-the-NM-nm-over-here-B-option-w.patch /nix/store/0df8rz15sp4ai6md99q5qy9lf0srji5z-0001-Revert-libtool.m4-fix-nm-BSD-flag-detection.patch /nix/store/pa83jbilxjpv5d4f62l3as4wg2fri7r7-always-search-rpath.patch /nix/store/rf3kjgy7pbvymp55hxw28dg5g937lmcv-plugins-no-BINDIR.patch /nix/store/awl9cirmdhg3la4fgcd9hs1fdn7ifqr0-0001-libtool.m4-update-macos-version-detection-block.patch /nix/store/xsknmwfnbkh1m643isys7f61z93k5rp0-avr-size.patch /nix/store/d6jzf3bhlvbcm08m0d0fvqv1xw8s2vq7-windres-locate-gcc.patch /nix/store/bd12hf82k0sqka3rwis91fi7vfhgqy2l-CVE-2025-5244.diff /nix/store/q1h4sripay9b2vp64nfwk879a8p2z413-CVE-2025-5245.diff","x86_64-linux","/nix/store/cl88v2m1y5q3k6jlkq5jjf73nmfgl1px-binutils-2.44","['/nix/store/cl88v2m1y5q3k6jlkq5jjf73nmfgl1px-binutils-2.44', '/nix/store/df7lccyakghg5bjg2qsdvw6j1xqzib2v-binutils-2.44-info', '/nix/store/in5vxpbk3gb2acanwxmid5530pdx0n9h-binutils-2.44-lib', '/nix/store/lj87m9nykd07iqf7w0f33hg1yy90xxd2-binutils-2.44-man', '/nix/store/vjnp2dm43849k1dx8sq37d4pr11wvzvf-binutils-2.44-dev']","/nix/store/z4l20yn9v0c65719bh59m1vryaial5ag-binutils-2.44.drv","cpe:2.3:a:gnu:binutils:2.44:*:*:*:*:*:*:*","pkg:nix/binutils@2.44","","binutils","2.44","https://www.gnu.org/software/binutils/","False","Tools for manipulating binaries (linker, assembler, etc.)","/nix/store/sbar1dcjq25m656wyhndzg3m77ayrwfm-source/pkgs/development/tools/misc/binutils/default.nix:366","gpl3Plus","GPL-3.0-or-later","John.Ericson@Obsidian.Systems;meurerbernardo@gmail.com"
"binutils-wrapper-2.44","binutils-wrapper","2.44","","x86_64-linux","/nix/store/dwiyp91lmxq864plaas14jm14m87sg3f-binutils-wrapper-2.44","['/nix/store/dwiyp91lmxq864plaas14jm14m87sg3f-binutils-wrapper-2.44', '/nix/store/fd98hmsdhwb19s9q61r86dxvdf9bn05g-binutils-wrapper-2.44-man', '/nix/store/k481dd1fsw53vmf4sf6mnnd2vni5a545-binutils-wrapper-2.44-info']","/nix/store/wb9s4ixi6smp2x12nygn0q0pp2dby3mz-binutils-wrapper-2.44.drv","cpe:2.3:a:binutils-wrapper:binutils-wrapper:2.44:*:*:*:*:*:*:*","pkg:nix/binutils-wrapper@2.44","","binutils-wrapper","2.44","https://www.gnu.org/software/binutils/","False","Tools for manipulating binaries (linker, assembler, etc.) (wrapper script)","/nix/store/sbar1dcjq25m656wyhndzg3m77ayrwfm-source/pkgs/build-support/bintools-wrapper/default.nix:491","gpl3Plus","GPL-3.0-or-later","John.Ericson@Obsidian.Systems;meurerbernardo@gmail.com"
"cargo-1.92.0-x86_64-unknown-linux-gnu","cargo","1.92.0","","x86_64-linux","/nix/store/pmjcmvjj1sikgl2vahsrj4cm0699c6vs-cargo-1.92.0-x86_64-unknown-linux-gnu","['/nix/store/pmjcmvjj1sikgl2vahsrj4cm0699c6vs-cargo-1.92.0-x86_64-unknown-linux-gnu']","/nix/store/n0yv2y5yv82ynlr7hmcwxm8pxddwdgps-cargo-1.92.0-x86_64-unknown-linux-gnu.drv","cpe:2.3:a:cargo:cargo:1.92.0:*:*:*:*:*:*:*","pkg:nix/cargo@1.92.0","","","","","","","","","",""
"cargo-git-https-github.com-githedgehog-dplane-rpc.git-e8fc33db10e1d00785f2a2b90cbadcad7900f200","cargo-git-https-github.com-githedgehog-dplane-rpc.git-e8fc33db10e1d00785f2a2b90cbadcad7900f200","","","x86_64-linux","/nix/store/zn0s69424pb88hwxdmdkqk580524kgsl-cargo-git-https-github.com-githedgehog-dplane-rpc.git-e8fc33db10e1d00785f2a2b90cbadcad7900f200","['/nix/store/zn0s69424pb88hwxdmdkqk580524kgsl-cargo-git-https-github.com-githedgehog-dplane-rpc.git-e8fc33db10e1d00785f2a2b90cbadcad7900f200']","/nix/store/qdw13qwqvq0szysz576mpqgiwq2i1gsh-cargo-git-https-github.com-githedgehog-dplane-rpc.git-e8fc33db10e1d00785f2a2b90cbadcad7900f200.drv","cpe:2.3:a:cargo-git-https-github.com-githedgehog-dplane-rpc.git-e8fc33db10e1d00785f2a2b90cbadcad7900f200:cargo-git-https-github.com-githedgehog-dplane-rpc.git-e8fc33db10e1d00785f2a2b90cbadcad7900f200::*:*:*:*:*:*:*","pkg:nix/cargo-git-https-github.com-githedgehog-dplane-rpc.git-e8fc33db10e1d00785f2a2b90cbadcad7900f200","","","","","","","","","",""
"cargo-git-https-github.com-githedgehog-fixin-5e0de31606466b17372f8a2cff090cc0461d572c","cargo-git-https-github.com-githedgehog-fixin-5e0de31606466b17372f8a2cff090cc0461d572c","","","x86_64-linux","/nix/store/4ny94hy77fsna0gggla9rmj2zck1ijik-cargo-git-https-github.com-githedgehog-fixin-5e0de31606466b17372f8a2cff090cc0461d572c","['/nix/store/4ny94hy77fsna0gggla9rmj2zck1ijik-cargo-git-https-github.com-githedgehog-fixin-5e0de31606466b17372f8a2cff090cc0461d572c']","/nix/store/sbl7f636i00znjidf8n14m5s05yis3p6-cargo-git-https-github.com-githedgehog-fixin-5e0de31606466b17372f8a2cff090cc0461d572c.drv","cpe:2.3:a:cargo-git-https-github.com-githedgehog-fixin-5e0de31606466b17372f8a2cff090cc0461d572c:cargo-git-https-github.com-githedgehog-fixin-5e0de31606466b17372f8a2cff090cc0461d572c::*:*:*:*:*:*:*","pkg:nix/cargo-git-https-github.com-githedgehog-fixin-5e0de31606466b17372f8a2cff090cc0461d572c","","","","","","","","","",""
"cargo-git-https-github.com-githedgehog-netlink-packet-route.git-09b8ffdf9b4e9bbc8780a3efb4ec3494ee7ee3fd","cargo-git-https-github.com-githedgehog-netlink-packet-route.git-09b8ffdf9b4e9bbc8780a3efb4ec3494ee7ee3fd","","","x86_64-linux","/nix/store/nfdygj26kiq1w58a26301cmylllycfp8-cargo-git-https-github.com-githedgehog-netlink-packet-route.git-09b8ffdf9b4e9bbc8780a3efb4ec3494ee7ee3fd","['/nix/store/nfdygj26kiq1w58a26301cmylllycfp8-cargo-git-https-github.com-githedgehog-netlink-packet-route.git-09b8ffdf9b4e9bbc8780a3efb4ec3494ee7ee3fd']","/nix/store/mmpvy1qmbajgj0ls31va5sqc56bavvnx-cargo-git-https-github.com-githedgehog-netlink-packet-route.git-09b8ffdf9b4e9bbc8780a3efb4ec3494ee7ee3fd.drv","cpe:2.3:a:cargo-git-https-github.com-githedgehog-netlink-packet-route.git-09b8ffdf9b4e9bbc8780a3efb4ec3494ee7ee3fd:cargo-git-https-github.com-githedgehog-netlink-packet-route.git-09b8ffdf9b4e9bbc8780a3efb4ec3494ee7ee3fd::*:*:*:*:*:*:*","pkg:nix/cargo-git-https-github.com-githedgehog-netlink-packet-route.git-09b8ffdf9b4e9bbc8780a3efb4ec3494ee7ee3fd","","","","","","","","","",""
"cargo-git-https-github.com-githedgehog-rtnetlink.git-acbd0329323d05240da8855c64e490ea725531e0","cargo-git-https-github.com-githedgehog-rtnetlink.git-acbd0329323d05240da8855c64e490ea725531e0","","","x86_64-linux","/nix/store/g5hld497vf659s1kalkmniq6zyfl1cmn-cargo-git-https-github.com-githedgehog-rtnetlink.git-acbd0329323d05240da8855c64e490ea725531e0","['/nix/store/g5hld497vf659s1kalkmniq6zyfl1cmn-cargo-git-https-github.com-githedgehog-rtnetlink.git-acbd0329323d05240da8855c64e490ea725531e0']","/nix/store/fqzp1hhgfilsj1l591l48jf41zai1w5f-cargo-git-https-github.com-githedgehog-rtnetlink.git-acbd0329323d05240da8855c64e490ea725531e0.drv","cpe:2.3:a:cargo-git-https-github.com-githedgehog-rtnetlink.git-acbd0329323d05240da8855c64e490ea725531e0:cargo-git-https-github.com-githedgehog-rtnetlink.git-acbd0329323d05240da8855c64e490ea725531e0::*:*:*:*:*:*:*","pkg:nix/cargo-git-https-github.com-githedgehog-rtnetlink.git-acbd0329323d05240da8855c64e490ea725531e0","","","","","","","","","",""
